Date,Price LTC,Open LTC,High LTC,Low LTC,Volume LTC,Google Trend,Price BTC,Open BTC,High BTC,Low BTC,Volume BTC
4/1/25,85.65,82.95,88.49,63.51,25.33M,17,"93,853.90","82,548.60","95,718.60","74,524.20",2.10M
3/1/25,82.96,127.78,130.63,80.87,44.57M,13,"82,548.80","84,353.40","94,986.50","76,677.10",2.37M
2/1/25,128.04,128.06,139.88,82.39,67.60M,17,"84,381.20","102,421.30","102,770.80","78,329.80",2.40M
1/1/25,128.08,103.29,140.79,93.29,44.29M,14,"94,536.10","94,600.00","95,928.10","89,423.10",55.30K
12/1/24,103.26,102.68,146.49,86.95,57.52M,17,"93,557.20","96,404.70","108,244.90","91,522.30",4.41M
11/1/24,102.66,69.33,106.13,64.46,48.64M,10,"96,405.70","70,278.70","99,617.40","66,834.00",4.16M
10/1/24,69.3,66.88,76.06,61.98,14.88M,4,"70,281.80","63,329.90","73,569.40","59,075.70",2.56M
9/1/24,66.88,64.97,71.49,59.67,14.18M,0,"63,339.20","58,975.70","66,440.70","52,644.60",2.34M
8/1/24,64.97,70.15,71.43,50.31,19.48M,7,"58,978.60","64,625.70","65,587.90","49,486.90",2.56M
7/1/24,70.15,75.32,76.72,57.33,16.37M,7,"64,626.00","62,768.80","70,000.20","53,883.40",2.06M
6/1/24,75.31,83.21,85.82,67.8,15.71M,6,"62,754.30","67,533.90","71,956.50","58,589.90",1.60M
5/1/24,83.21,79.49,89.53,74.65,19.42M,10,"67,530.10","60,665.00","71,872.00","56,643.50",2.10M
4/1/24,79.49,105.05,112.65,70.86,49.32M,9,"60,666.60","71,329.30","72,710.80","59,228.70",2.66M
3/1/24,105.05,79.87,110.07,73.57,66.07M,11,"71,332.00","61,157.30","73,740.90","60,138.20",2.70M
2/1/24,79.87,66.76,84.9,65.74,25.71M,0,"61,169.30","42,580.10","63,915.30","41,890.50",1.74M
1/1/24,66.76,72.82,77.08,57.62,29.59M,4,"42,580.50","42,272.50","48,923.70","38,546.90",2.03M
12/1/23,72.83,69.42,79.51,68.27,20.58M,7,"42,272.50","37,712.90","44,697.60","37,618.30",1.63M
11/1/23,69.42,68.9,76.75,65.5,15.73M,12,"37,712.90","34,648.30","38,400.80","34,124.20",1.48M
10/1/23,68.9,65.98,72.73,59.92,12.28M,9,"34,650.60","26,962.50","35,191.40","26,558.40",1.61M
9/1/23,65.96,63.87,68.27,57.79,13.68M,8,"26,962.70","25,938.30","27,480.70","24,923.10",1.15M
8/1/23,63.87,92.22,94.5,57.2,19.43M,7,"25,937.30","29,232.30","30,168.60","25,481.90",1.34M
7/1/23,92.22,108.66,114.76,87.75,28.39M,11,"29,232.40","30,472.90","31,764.50","28,890.70",1.23M
6/1/23,108.66,90.44,111.26,71.53,20.86M,6,"30,472.90","27,216.40","31,395.40","24,838.00",1.77M
5/1/23,90.45,88.14,94.97,75.86,20.89M,9,"27,216.10","29,252.10","29,816.40","25,853.10",1.66M
4/1/23,88.14,89.57,103.1,84.53,19.02M,10,"29,252.10","28,473.70","30,964.90","27,054.30",2.03M
3/1/23,89.57,93.79,98.27,65.1,30.78M,10,"28,473.70","23,130.60","29,160.40","19,591.80",10.26M
2/1/23,93.79,94.14,105.25,88.36,16.38M,8,"23,130.50","23,124.70","25,236.80","21,418.70",9.09M
1/1/23,94.14,70.08,97.53,69.05,24.37M,9,"23,125.10","16,537.50","23,952.90","16,499.70",8.98M
12/1/22,70.08,79.15,83.98,61.09,21.77M,7,"16,537.40","17,163.40","18,351.80","16,331.20",6.61M
11/1/22,79.15,55.04,81.91,48,40.34M,5,"17,163.90","20,496.10","21,464.70","15,504.20",10.30M
10/1/22,55.04,53.49,57.56,48.39,10.52M,7,"20,496.30","19,422.90","21,038.10","18,207.90",8.29M
9/1/22,53.49,53.84,67.38,50.17,19.33M,7,"19,423.00","20,049.90","22,702.50","18,191.80",10.91M
8/1/22,53.81,59.77,65.81,51.83,15.47M,5,"20,043.90","23,303.40","25,205.70","19,542.90",6.55M
7/1/22,59.77,53.83,64.55,46.56,16.23M,7,"23,303.40","19,926.60","24,605.30","18,794.40",5.79M
6/1/22,53.83,68.3,70.5,40.4,26.38M,9,"19,926.60","31,793.10","31,969.90","17,630.50",3.79M
5/1/22,68.3,95.9,107.1,54.9,20.87M,9,"31,793.40","37,642.00","40,021.00","26,500.50",4.67B
4/1/22,95.9,123.8,129.5,94,10.38M,15,"37,650.00","45,529.00","47,435.00","37,596.00",12.14B
3/1/22,123.8,113.8,134,96.4,696.85M,17,"45,525.00","43,187.20","48,199.00","37,182.10",43.70B
2/1/22,113.8,109.4,143.8,91.7,14.97M,8,"43,188.20","38,475.60","45,755.20","34,357.40",1.82M
1/1/22,109.4,146.3,153.5,96.6,16.59M,13,"38,498.60","46,217.50","47,944.90","32,985.60",2.03M
12/1/21,146.3,207.8,217.6,130.3,20.37M,17,"46,219.50","56,891.70","59,064.30","42,587.80",1.90M
11/1/21,208.1,191.72,295.1,183.5,164.37M,22,"56,882.90","61,310.10","68,990.60","53,448.30",1.85M
10/1/21,191.74,153.33,214.46,151.25,1.94B,20,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M
9/1/21,153.33,171.54,233.81,139.92,1.72B,23,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M
8/1/21,171.49,144.09,191.26,135.68,846.25M,25,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M
7/1/21,144.69,144.15,148.06,104.05,388.57M,25,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M
6/1/21,144.15,188.06,197.6,105.12,518.40M,28,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M
5/1/21,188.17,271.15,412.8,118.47,4.95B,56,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M
4/1/21,271.08,196.67,335.27,192.37,5.37B,46,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M
3/1/21,196.66,165.15,230.09,163.37,4.06B,36,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M
2/1/21,165.12,129.4,247.07,126,4.34B,92,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M
1/1/21,129.4,124.16,185.67,112.9,9.66B,54,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M
12/1/20,124.16,87.62,139.41,70.01,6.94B,34,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M
11/1/20,87.66,55.73,93.95,51.5,1.97B,16,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M
10/1/20,55.73,46.27,60.57,43.3,383.58M,12,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M
9/1/20,46.26,60.96,64.27,41.93,377.13M,14,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M
8/1/20,60.96,58.16,68.88,51.73,432.97M,28,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M
7/1/20,58.16,41.19,59.21,40.39,358.66M,13,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M
6/1/20,41.2,45.61,49.93,39.32,267.79M,8,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M
5/1/20,45.61,46.39,49.93,39.57,360.64M,9,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M
4/1/20,46.4,39.06,50.8,37.2,472.46M,12,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M
3/1/20,39.08,58.08,63.81,24.35,421.22M,19,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M
2/1/20,58.08,68.04,84.09,58.08,328.93M,15,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M
1/1/20,68.04,41.29,81.21,38.97,254.16M,16,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M
