"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2025","86.34","84.30","87.23","82.97","807.63K","2.42%"
"04/24/2025","84.30","83.29","84.57","80.82","788.18K","1.21%"
"04/23/2025","83.29","83.47","85.19","82.28","1.12M","-0.22%"
"04/22/2025","83.47","78.13","84.68","77.48","974.17K","6.83%"
"04/21/2025","78.14","77.78","81.55","77.45","842.50K","0.45%"
"04/20/2025","77.78","76.08","78.43","75.45","427.79K","2.24%"
"04/19/2025","76.08","76.00","76.73","74.48","424.90K","0.10%"
"04/18/2025","76.00","74.94","77.05","74.63","451.81K","1.41%"
"04/17/2025","74.94","74.34","76.48","73.69","605.86K","0.83%"
"04/16/2025","74.33","75.34","76.48","73.35","719.26K","-1.34%"
"04/15/2025","75.34","77.17","78.70","74.72","587.89K","-2.37%"
"04/14/2025","77.17","77.80","80.57","75.81","837.95K","-0.76%"
"04/13/2025","77.76","78.63","80.01","76.57","742.91K","-1.11%"
"04/12/2025","78.63","76.18","80.05","74.92","794.46K","3.22%"
"04/11/2025","76.18","73.81","77.49","73.74","845.38K","3.21%"
"04/10/2025","73.81","76.03","76.11","71.14","979.42K","-2.91%"
"04/09/2025","76.02","69.16","78.19","66.58","1.95M","9.93%"
"04/08/2025","69.16","70.97","73.48","68.30","1.25M","-2.58%"
"04/07/2025","70.99","70.61","72.87","63.51","2.99M","0.55%"
"04/06/2025","70.60","82.68","83.11","68.52","1.71M","-14.64%"
"04/05/2025","82.70","84.40","84.94","81.74","330.60K","-2.02%"
"04/04/2025","84.41","83.43","85.09","81.64","933.59K","1.19%"
"04/03/2025","83.41","81.53","84.65","80.18","962.77K","2.30%"
"04/02/2025","81.54","84.48","88.49","81.02","1.44M","-3.49%"
"04/01/2025","84.48","82.95","85.88","82.89","739.37K","1.84%"
"03/31/2025","82.96","86.08","86.25","80.87","1.14M","-3.62%"
"03/30/2025","86.07","85.44","86.80","84.70","501.18K","0.75%"
"03/29/2025","85.43","87.33","88.01","84.20","790.88K","-2.19%"
"03/28/2025","87.33","92.82","93.42","85.72","1.09M","-5.91%"
"03/27/2025","92.82","92.43","95.00","92.20","699.92K","0.44%"
"03/26/2025","92.42","94.37","96.49","90.99","951.36K","-2.02%"
"03/25/2025","94.33","93.78","94.70","91.94","795.51K","0.59%"
"03/24/2025","93.78","91.45","95.60","90.82","1.17M","2.55%"
"03/23/2025","91.45","91.33","92.99","90.67","458.95K","0.12%"
"03/22/2025","91.33","90.83","92.20","90.43","444.40K","0.55%"
"03/21/2025","90.83","93.28","93.88","90.83","804.19K","-2.62%"
"03/20/2025","93.28","94.08","94.47","90.15","935.58K","-0.85%"
"03/19/2025","94.07","90.04","94.23","89.34","1.21M","4.46%"
"03/18/2025","90.06","92.31","92.31","87.19","1.12M","-2.44%"
"03/17/2025","92.31","90.24","94.38","90.24","1.32M","2.29%"
"03/16/2025","90.24","92.46","92.68","88.44","821.07K","-2.40%"
"03/15/2025","92.46","91.28","94.19","91.02","796.58K","1.29%"
"03/14/2025","91.28","88.05","92.77","87.82","948.91K","3.66%"
"03/13/2025","88.05","91.51","91.75","86.29","1.08M","-3.78%"
"03/12/2025","91.51","90.41","92.68","87.42","1.24M","1.25%"
"03/11/2025","90.39","87.41","93.06","83.55","2.31M","3.45%"
"03/10/2025","87.37","94.56","98.91","86.48","2.19M","-7.59%"
"03/09/2025","94.54","102.34","102.70","93.68","1.62M","-7.62%"
"03/08/2025","102.34","103.69","108.56","101.84","1.18M","-1.31%"
"03/07/2025","103.70","103.33","106.58","97.52","2.05M","0.31%"
"03/06/2025","103.38","104.73","112.98","102.16","2.17M","-1.29%"
"03/05/2025","104.74","103.64","106.71","100.66","1.64M","1.07%"
"03/04/2025","103.63","109.89","110.86","94.27","4.28M","-5.64%"
"03/03/2025","109.82","127.86","130.07","106.80","3.96M","-14.06%"
"03/02/2025","127.79","124.17","129.81","118.31","3.38M","2.84%"
"03/01/2025","124.26","127.78","130.63","123.08","1.49M","-2.96%"
"02/28/2025","128.04","126.70","129.52","114.19","4.26M","0.95%"
"02/27/2025","126.84","125.40","131.92","121.88","3.55M","1.64%"
"02/26/2025","124.80","114.51","128.40","114.02","4.35M","8.98%"
"02/25/2025","114.51","114.61","116.93","106.48","3.37M","-0.08%"
"02/24/2025","114.60","129.75","130.38","112.47","2.51M","-11.67%"
"02/23/2025","129.74","125.65","130.37","125.28","945.92K","3.04%"
"02/22/2025","125.91","128.19","131.09","125.79","1.57M","-1.79%"
"02/21/2025","128.21","130.76","139.88","123.85","4.18M","-1.95%"
"02/20/2025","130.76","134.89","135.00","126.17","2.61M","-3.06%"
"02/19/2025","134.88","129.76","139.79","129.74","3.38M","3.99%"
"02/18/2025","129.71","122.31","129.77","120.02","2.03M","6.05%"
"02/17/2025","122.31","125.60","128.71","120.19","1.77M","-2.62%"
"02/16/2025","125.60","133.86","137.30","125.18","1.89M","-6.20%"
"02/15/2025","133.91","124.92","134.90","124.34","1.96M","7.19%"
"02/14/2025","124.92","126.51","133.73","124.56","2.34M","-1.25%"
"02/13/2025","126.50","121.98","129.23","118.99","1.97M","3.72%"
"02/12/2025","121.96","119.24","124.83","111.68","2.27M","2.23%"
"02/11/2025","119.31","120.17","131.95","117.95","3.54M","-0.71%"
"02/10/2025","120.16","107.17","121.78","107.17","2.62M","12.13%"
"02/09/2025","107.16","104.72","109.08","102.37","1.00M","2.34%"
"02/08/2025","104.72","103.15","105.13","101.84","697.02K","1.52%"
"02/07/2025","103.15","103.95","107.89","100.68","1.23M","3.34%"
"02/06/2025","99.82","103.32","109.58","99.60","1.48M","-3.39%"
"02/05/2025","103.32","101.12","109.05","100.47","1.35M","2.17%"
"02/04/2025","101.12","106.96","108.60","98.61","1.73M","-5.46%"
"02/03/2025","106.97","109.02","109.03","82.39","5.10M","-1.89%"
"02/02/2025","109.03","118.03","121.40","104.64","2.34M","-7.94%"
"02/01/2025","118.43","128.06","131.18","117.85","1.55M","-7.53%"
"01/31/2025","128.08","130.11","134.78","125.39","1.54M","-1.57%"
"01/30/2025","130.11","115.80","133.82","114.27","2.67M","12.36%"
"01/29/2025","115.80","109.97","119.27","109.93","1.05M","5.29%"
"01/28/2025","109.98","115.06","116.92","109.26","905.74K","-4.36%"
"01/27/2025","114.99","117.13","117.85","106.29","1.63M","-1.83%"
"01/26/2025","117.13","123.94","125.08","117.02","825.98K","-5.49%"
"01/25/2025","123.93","118.76","129.24","118.18","1.83M","4.36%"
"01/24/2025","118.75","116.47","122.84","112.89","1.34M","1.96%"
"01/23/2025","116.47","115.33","117.16","111.31","887.72K","0.99%"
"01/22/2025","115.33","119.09","120.23","114.22","853.05K","-3.17%"
"01/21/2025","119.11","118.56","124.84","113.71","1.48M","0.47%"
"01/20/2025","118.55","115.68","127.25","113.00","2.58M","2.48%"
"01/19/2025","115.68","125.39","128.58","111.99","3.02M","-7.73%"
"01/18/2025","125.38","136.99","139.37","123.28","2.42M","-8.48%"
"01/17/2025","136.99","124.21","140.79","124.21","3.48M","10.30%"
"01/16/2025","124.20","117.19","130.08","114.25","4.25M","5.96%"
"01/15/2025","117.21","102.44","118.53","100.78","1.51M","14.42%"
"01/14/2025","102.44","98.40","102.53","97.63","607.64K","4.11%"
"01/13/2025","98.39","102.35","104.33","93.29","1.06M","-3.89%"
"01/12/2025","102.37","104.39","105.24","101.38","381.39K","-1.90%"
"01/11/2025","104.36","103.93","104.95","102.18","402.69K","0.42%"
"01/10/2025","103.93","102.23","106.25","102.11","718.72K","1.67%"
"01/09/2025","102.22","101.41","105.74","100.01","861.69K","0.81%"
"01/08/2025","101.40","102.69","104.97","97.38","1.04M","-1.25%"
"01/07/2025","102.69","114.02","114.84","102.14","1.41M","-9.93%"
"01/06/2025","114.02","115.73","117.07","111.72","948.27K","-1.30%"
"01/05/2025","115.52","111.21","116.09","110.66","570.51K","3.87%"
"01/04/2025","111.21","112.73","112.82","110.11","498.60K","-1.35%"
"01/03/2025","112.73","105.13","114.80","104.12","892.76K","7.22%"
"01/02/2025","105.13","105.14","108.29","104.62","874.06K","0.00%"
"01/01/2025","105.14","103.29","108.05","102.09","696.58K","1.82%"
"12/31/2024","103.26","99.40","104.75","97.83","714.58K","3.88%"
"12/30/2024","99.40","98.36","103.01","97.47","884.53K","1.02%"
"12/29/2024","98.39","100.75","101.56","96.94","512.63K","-2.34%"
"12/28/2024","100.75","100.57","101.73","98.68","433.59K","0.16%"
"12/27/2024","100.59","102.23","106.46","99.75","706.96K","-1.61%"
"12/26/2024","102.23","109.80","110.31","101.09","810.15K","-6.89%"
"12/25/2024","109.80","108.30","110.65","106.92","605.54K","1.34%"
"12/24/2024","108.35","106.76","110.78","104.01","894.91K","1.48%"
"12/23/2024","106.76","99.78","107.62","98.00","1.29M","6.99%"
"12/22/2024","99.79","101.50","103.87","96.92","1.06M","-1.68%"
"12/21/2024","101.49","101.41","105.95","97.95","1.46M","0.08%"
"12/20/2024","101.41","99.38","103.29","86.95","2.61M","2.06%"
"12/19/2024","99.37","108.43","111.65","94.88","3.00M","-8.36%"
"12/18/2024","108.43","125.39","128.87","107.61","3.10M","-13.50%"
"12/17/2024","125.35","118.00","131.33","114.59","2.55M","6.23%"
"12/16/2024","118.00","121.12","123.88","115.52","1.47M","-2.57%"
"12/15/2024","121.12","118.22","122.13","114.72","922.70K","2.45%"
