"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2025","87.00","76.08","87.23","75.45","5.77M","14.35%"
"04/13/2025","76.08","78.63","80.57","73.35","4.37M","-3.24%"
"04/06/2025","78.63","82.68","83.11","63.51","10.53M","-4.92%"
"03/30/2025","82.70","85.44","88.49","80.18","6.06M","-3.19%"
"03/23/2025","85.43","91.33","96.49","84.20","5.95M","-6.47%"
"03/16/2025","91.33","92.46","94.47","87.19","6.65M","-1.22%"
"03/09/2025","92.46","102.34","102.70","83.55","10.18M","-9.66%"
"03/02/2025","102.34","124.17","130.07","94.27","18.66M","-17.63%"
"02/23/2025","124.26","125.65","131.92","106.48","20.47M","-1.32%"
"02/16/2025","125.91","133.86","139.88","120.02","17.43M","-5.97%"
"02/09/2025","133.91","104.72","134.90","102.37","16.02M","27.87%"
"02/02/2025","104.72","118.03","121.40","82.39","14.37M","-11.58%"
"01/26/2025","118.43","123.94","134.78","106.29","10.11M","-4.44%"
"01/19/2025","123.93","125.39","129.24","111.31","11.76M","-1.15%"
"01/12/2025","125.38","104.39","140.79","93.29","14.69M","20.14%"
"01/05/2025","104.36","111.21","117.07","97.38","6.24M","-6.16%"
"12/29/2024","111.21","100.75","114.80","96.94","5.51M","10.38%"
"12/22/2024","100.75","101.50","110.78","96.92","6.06M","-0.73%"
"12/15/2024","101.49","118.22","131.33","86.95","16.21M","-14.14%"
"12/08/2024","118.22","133.80","135.74","101.38","13.83M","-11.65%"
"12/01/2024","133.80","102.68","146.49","99.37","21.36M","30.33%"
"11/24/2024","102.66","99.48","104.82","88.08","9.26M","3.21%"
"11/17/2024","99.47","95.39","106.13","81.69","13.64M","4.28%"
"11/10/2024","95.39","73.98","98.36","71.88","16.40M","28.94%"
"11/03/2024","73.98","69.19","74.18","64.46","4.45M","6.94%"
"10/27/2024","69.18","68.47","74.35","67.76","3.26M","1.05%"
"10/20/2024","68.47","74.86","75.62","67.02","3.74M","-8.54%"
"10/13/2024","74.86","66.19","76.06","64.15","5.12M","13.09%"
"10/06/2024","66.19","66.28","67.97","63.41","2.28M","-0.13%"
"09/29/2024","66.28","69.97","70.30","61.98","2.90M","-5.27%"
"09/22/2024","69.97","66.84","71.49","65.65","2.96M","4.68%"
"09/15/2024","66.84","65.91","67.12","61.96","2.93M","1.41%"
"09/08/2024","65.91","62.07","66.74","59.67","4.05M","6.13%"
"09/01/2024","62.10","64.97","68.44","61.25","4.09M","-4.42%"
"08/25/2024","64.97","66.58","66.87","59.21","3.84M","-2.41%"
"08/18/2024","66.58","67.57","68.11","62.06","3.46M","-1.45%"
"08/11/2024","67.56","61.17","67.83","58.94","3.88M","10.44%"
"08/04/2024","61.17","64.66","65.21","50.31","6.96M","-5.41%"
"07/28/2024","64.67","71.32","76.72","62.62","3.84M","-9.30%"
"07/21/2024","71.30","73.04","74.60","67.34","3.27M","-2.37%"
"07/14/2024","73.04","69.81","74.23","69.26","3.51M","4.63%"
"07/07/2024","69.81","65.39","70.59","59.30","3.31M","6.73%"
"06/30/2024","65.41","74.94","76.21","57.33","6.61M","-12.72%"
"06/23/2024","74.94","74.58","76.76","67.80","3.72M","0.50%"
"06/16/2024","74.57","79.24","80.13","70.78","4.28M","-5.89%"
"06/09/2024","79.24","79.98","80.71","75.89","4.11M","-0.92%"
"06/02/2024","79.98","83.47","85.82","75.70","4.74M","-4.19%"
"05/26/2024","83.47","84.98","86.41","81.96","3.58M","-1.78%"
"05/19/2024","84.99","83.85","89.53","81.63","6.38M","1.36%"
"05/12/2024","83.85","81.38","84.75","78.26","3.56M","3.02%"
"05/05/2024","81.39","81.65","84.04","79.36","4.30M","-0.32%"
"04/28/2024","81.65","83.88","85.57","74.65","4.93M","-2.66%"
"04/21/2024","83.88","85.07","88.53","81.97","7.33M","-1.40%"
"04/14/2024","85.07","77.32","85.94","73.79","10.14M","10.09%"
"04/07/2024","77.28","101.56","105.89","70.86","13.83M","-23.91%"
"03/31/2024","101.56","102.85","112.65","93.72","18.08M","-1.26%"
"03/24/2024","102.85","85.27","110.07","85.25","20.32M","20.62%"
"03/17/2024","85.27","84.13","88.00","77.12","11.24M","1.35%"
"03/10/2024","84.13","90.69","105.62","82.40","17.60M","-7.24%"
"03/03/2024","90.69","94.43","94.52","73.57","15.81M","-3.97%"
"02/25/2024","94.44","70.37","94.49","69.11","13.14M","34.20%"
"02/18/2024","70.37","69.97","71.71","67.38","4.85M","0.58%"
"02/11/2024","69.97","70.79","73.44","68.22","7.41M","-1.17%"
"02/04/2024","70.79","68.79","71.95","66.60","4.32M","2.91%"
"01/28/2024","68.79","68.04","70.00","65.74","3.13M","1.11%"
"01/21/2024","68.03","71.34","72.67","63.22","4.57M","-4.64%"
"01/14/2024","71.34","72.00","72.74","66.51","5.75M","-0.90%"
"01/07/2024","71.99","65.64","77.08","61.07","12.48M","9.67%"
"12/31/2023","65.64","73.21","75.87","57.62","8.03M","-10.32%"
"12/24/2023","73.20","72.48","77.76","70.33","7.55M","0.99%"
"12/17/2023","72.48","72.21","74.05","68.27","3.69M","0.37%"
"12/10/2023","72.21","76.31","78.93","70.27","4.19M","-5.37%"
"12/03/2023","76.31","72.21","79.51","71.33","4.81M","5.68%"
"11/26/2023","72.21","71.87","72.70","67.84","2.81M","0.47%"
"11/19/2023","71.87","69.85","72.14","65.50","3.20M","2.89%"
"11/12/2023","69.85","75.23","76.75","67.60","4.51M","-7.15%"
"11/05/2023","75.23","70.44","76.11","69.01","4.50M","6.80%"
"10/29/2023","70.44","67.72","70.77","66.62","3.38M","4.02%"
"10/22/2023","67.72","64.75","72.73","63.35","4.29M","4.59%"
"10/15/2023","64.75","61.62","66.20","59.92","2.57M","5.08%"
"10/08/2023","61.62","65.45","65.97","60.47","2.20M","-5.85%"
"10/01/2023","65.45","65.98","68.76","63.58","2.54M","-0.77%"
"09/24/2023","65.96","65.06","66.59","62.91","2.33M","1.38%"
"09/17/2023","65.06","65.39","68.27","62.94","4.11M","-0.50%"
"09/10/2023","65.39","63.05","66.81","57.79","4.14M","3.71%"
"09/03/2023","63.05","64.59","64.92","61.64","2.69M","-2.38%"
"08/27/2023","64.59","65.01","70.50","61.95","3.81M","-0.65%"
"08/20/2023","65.01","64.17","67.20","62.58","3.55M","1.34%"
"08/13/2023","64.15","83.48","83.76","57.20","6.50M","-23.16%"
"08/06/2023","83.48","83.11","85.35","80.16","2.75M","0.43%"
"07/30/2023","83.12","94.37","95.96","81.15","7.55M","-11.92%"
"07/23/2023","94.37","92.09","94.87","87.75","3.45M","2.48%"
"07/16/2023","92.09","94.78","96.29","89.51","4.41M","-2.84%"
"07/09/2023","94.78","97.79","104.17","92.35","7.69M","-3.12%"
"07/02/2023","97.83","107.12","114.76","94.66","9.42M","-8.86%"
"06/25/2023","107.34","89.67","112.63","81.66","14.05M","19.71%"
"06/18/2023","89.67","76.87","93.71","75.87","5.26M","16.65%"
"06/11/2023","76.87","77.17","79.53","71.53","3.82M","-0.39%"
"06/04/2023","77.17","96.02","96.47","74.86","4.65M","-19.63%"
"05/28/2023","96.02","88.58","97.43","88.12","5.06M","8.40%"
"05/21/2023","88.58","92.43","93.36","83.00","4.70M","-4.17%"
"05/14/2023","92.43","80.25","94.97","79.73","6.56M","15.18%"
"05/07/2023","80.25","83.25","85.17","75.86","5.33M","-3.60%"
"04/30/2023","83.25","91.06","91.38","81.01","3.18M","-8.58%"
