date,rf_rate
2025-04-30,4.38
2025-03-31,4.38
2025-02-28,4.38
2025-01-31,4.37
2024-12-31,4.4
2024-11-30,4.76
2024-10-31,4.76
2024-09-30,4.93
2024-08-31,5.41
2024-07-31,5.49
2024-06-30,5.47
2024-05-31,5.48
2024-04-30,5.48
2024-03-31,5.49
2024-02-29,5.53
2024-01-31,5.53
2023-12-31,5.6
2023-11-30,5.56
2023-10-31,5.56
2023-09-30,5.55
2023-08-31,5.52
2023-07-31,5.48
2023-06-30,5.24
2023-05-31,5.28
2023-04-30,4.35
2023-03-31,4.74
2023-02-28,4.65
2023-01-31,4.58
2022-12-31,4.12
2022-11-30,4.07
2022-10-31,3.73
2022-09-30,2.79
2022-08-31,2.4
2022-07-31,2.22
2022-06-30,1.28
2022-05-31,0.73
2022-04-30,0.37
2022-03-31,0.17
2022-02-28,0.06
2022-01-31,0.03
2021-12-31,0.06
2021-11-30,0.11
2021-10-31,0.06
2021-09-30,0.07
2021-08-31,0.03
2021-07-31,0.05
2021-06-30,0.05
2021-05-31,0.01
2021-04-30,0.01
2021-03-31,0.01
2021-02-28,0.04
2021-01-31,0.07
2020-12-31,0.08
2020-11-30,0.08
2020-10-31,0.08
2020-09-30,0.08
2020-08-31,0.08
2020-07-31,0.09
2020-06-30,0.13
2020-05-31,0.13
2020-04-30,0.1
